model,attribute,delta_dp,delta_eo,group_auc_gap,leakage_auc
TabICL+INLP+DPT@age_group,gender_x_region,0.0592,0.0231,0.0085,0.7657
GraphSAGE+INLP+DPT@region,gender,0.0317,0.0166,0.0052,0.8201
GraphSAGE+INLP+DPT@region,region,0.031,0.0633,0.0033,0.5195
GraphSAGE+INLP+DPT@region,age_group,0.0407,0.0345,0.0053,0.8696
GraphSAGE+INLP+DPT@region,gender_x_age,0.0554,0.0611,0.0126,0.8401
GraphSAGE+INLP+DPT@region,gender_x_region,0.0606,0.0832,0.0089,0.7161
TabICL+INLP+DPT@region,gender,0.0358,0.0197,0.0046,0.8858
TabICL+INLP+DPT@region,region,0.0182,0.0571,0.0042,0.5476
TabICL+INLP+DPT@region,age_group,0.0357,0.0345,0.0078,0.9911
TabICL+INLP+DPT@region,gender_x_age,0.0553,0.0494,0.0132,0.9345
TabICL+INLP+DPT@region,gender_x_region,0.0503,0.078,0.0097,0.7632
GraphSAGE+INLP+DPT_composite,gender,0.0249,0.0237,0.0109,0.4942
GraphSAGE+INLP+DPT_composite,region,0.01,0.0357,0.0176,0.5043
GraphSAGE+INLP+DPT_composite,age_group,0.0091,0.0058,0.0169,0.5033
GraphSAGE+INLP+DPT_composite,gender_x_age,0.0414,0.0341,0.0383,0.4956
GraphSAGE+INLP+DPT_composite,gender_x_region,0.0351,0.055,0.0473,0.4994
TabICL+INLP+DPT_composite,gender,0.0014,0.0087,0.0083,0.4914
TabICL+INLP+DPT_composite,region,0.0266,0.0718,0.0135,0.5043
TabICL+INLP+DPT_composite,age_group,0.0195,0.0372,0.0421,0.5113
TabICL+INLP+DPT_composite,gender_x_age,0.068,0.0577,0.0597,0.4805
TabICL+INLP+DPT_composite,gender_x_region,0.0306,0.084,0.0258,0.501
GraphSAGE+Reweighted@gender,gender,0.0315,0.0122,0.0044,0.8247
GraphSAGE+Reweighted@gender,region,0.0362,0.0023,0.0032,0.6449
GraphSAGE+Reweighted@gender,age_group,0.0389,0.0254,0.0064,0.899
