dataset,seed,axis,n_train,n_test,embed_dim,acc_baseline,acc_after_inlp,acc_drop,f1_baseline,f1_after_inlp,f1_drop,leakage_pre,leakage_post,leakage_drop
pokec-z,99,gender_x_age,10000,26628,512,0.9488883881628362,0.5109283461018477,0.4379600420609885,0.9487232786558762,0.45091871631814406,0.4978045623377322,0.9446404581845808,0.7305138444064844,0.2141266137780964
pokec-z,99,gender_x_region,10000,26628,512,0.9488883881628362,0.5325597115817936,0.41632867658104256,0.9487232786558762,0.45085758710259755,0.4978656915532787,0.7064624397060679,0.5960316366658154,0.11043080304025255
pokec-n,3,gender,10000,27119,512,0.9464213282200671,0.9454994653195177,0.0009218629005494083,0.9463858106499189,0.945462188157828,0.0009236224920908809,0.8087198675661105,0.6579095231208046,0.15081034444530583
pokec-n,3,region,10000,27119,512,0.9464213282200671,0.8401489730447288,0.10627235517533828,0.9463858106499189,0.838268785189668,0.10811702546025093,0.5731617042498078,0.537170335092366,0.03599136915744183
pokec-n,3,age_group,10000,27119,512,0.9464213282200671,0.9415907666211881,0.004830561598878957,0.9463858106499189,0.9415821687708048,0.0048036418791140845,0.9979351867126042,0.8582803926082959,0.13965479410430826
pokec-n,3,gender_x_age,10000,27119,512,0.9464213282200671,0.6373760094398762,0.3090453187801909,0.9463858106499189,0.6130238308077114,0.3333619798422075,0.9443997589760479,0.7156124109302505,0.22878734804579737
pokec-n,3,gender_x_region,10000,27119,512,0.9464213282200671,0.9205354179726392,0.025885910247427923,0.9463858106499189,0.9205000498855294,0.02588576076438953,0.7081529341756067,0.5745610539190971,0.1335918802565096
pokec-n,7,gender,10000,27119,512,0.9457944614476935,0.943397617906265,0.0023968435414285505,0.9457699118378419,0.9433709955655941,0.002398916272247753,0.8092370208558723,0.6394500364427973,0.16978698441307505
pokec-n,7,region,10000,27119,512,0.9457944614476935,0.9432132453261551,0.0025812161215383878,0.9457699118378419,0.9431919550591596,0.002577956778682222,0.5772533451954659,0.527231941001614,0.050021404193851926
pokec-n,7,age_group,10000,27119,512,0.9457944614476935,0.9344002359969026,0.01139422545079094,0.9457699118378419,0.9343815201372856,0.011388391700556277,0.9946666281826034,0.8010731541134293,0.19359347406917415
pokec-n,7,gender_x_age,10000,27119,512,0.9457944614476935,0.8911833032191453,0.05461115822854823,0.9457699118378419,0.89118329374962,0.05458661808822185,0.940135331630967,0.688300599668035,0.25183473196293193
pokec-n,7,gender_x_region,10000,27119,512,0.9457944614476935,0.9426601275858254,0.0031343338618681216,0.9457699118378419,0.942639360955011,0.0031305508828308737,0.7007768089654364,0.5747830251560722,0.1259937838093642
pokec-n,21,gender,10000,27119,512,0.9463475791880231,0.9441351082267045,0.002212470961318602,0.9463173059625795,0.9441093665009391,0.002207939461640329,0.8222152103143354,0.6480194628277047,0.1741957474866307
