model,attribute,delta_dp_mean,delta_dp_std,delta_eo_mean,delta_eo_std,group_auc_gap_mean,group_auc_gap_std,leakage_auc_mean,leakage_auc_std
GraphSAGE+DPT_composite@gender_age_group_region,region,0.01854,0.007502199677427947,0.04006,0.015778561404640158,0.00208,0.0015056560032092323,0.6441,0.006046073105743931
GraphSAGE+EOT@age_group,age_group,0.04294,0.02749350832469367,0.04134,0.016092793418173244,0.00784,0.0012759310326189272,0.8956799999999999,0.00453232831996977
GraphSAGE+EOT@age_group,gender,0.04066,0.008976803439977952,0.02242,0.010864253310743449,0.00388,0.0006685805860178711,0.8207800000000001,0.005872989017527611
GraphSAGE+EOT@age_group,gender_x_age,0.06636,0.01804682797612921,0.06132,0.01753559237664927,0.01336,0.0011802542099056458,0.85488,0.005135367562307518
GraphSAGE+EOT@age_group,gender_x_region,0.0741,0.0125223799654858,0.03278,0.016972242043996427,0.006500000000000001,0.0016985287751463028,0.7361800000000001,0.006002249578283161
GraphSAGE+EOT@age_group,region,0.036719999999999996,0.010687703214442287,0.00882,0.007310061559248322,0.00208,0.0015056560032092323,0.6441,0.006046073105743931
GraphSAGE+EOT@gender,age_group,0.029959999999999997,0.01516073876827907,0.03926,0.009820794265231303,0.00784,0.0012759310326189272,0.8956799999999999,0.00453232831996977
GraphSAGE+EOT@gender,gender,0.0127,0.0071045759901629596,0.0064199999999999995,0.006825467016988654,0.00388,0.0006685805860178711,0.8207800000000001,0.005872989017527611
GraphSAGE+EOT@gender,gender_x_age,0.06266000000000001,0.019046338230746612,0.0512,0.006670832032063166,0.01336,0.0011802542099056458,0.85488,0.005135367562307518
GraphSAGE+EOT@gender,gender_x_region,0.053959999999999994,0.010319060034712465,0.015560000000000001,0.0067507777329726985,0.006500000000000001,0.0016985287751463028,0.7361800000000001,0.006002249578283161
GraphSAGE+EOT@gender,region,0.0408,0.009917913086935176,0.00404,0.004924733495327438,0.00208,0.0015056560032092323,0.6441,0.006046073105743931
GraphSAGE+EOT@region,age_group,0.03258,0.015799430369478517,0.04052,0.010018832267285444,0.00784,0.0012759310326189272,0.8956799999999999,0.00453232831996977
GraphSAGE+EOT@region,gender,0.037919999999999995,0.0044611657669268445,0.01924,0.006420903363234803,0.00388,0.0006685805860178711,0.8207800000000001,0.005872989017527611
GraphSAGE+EOT@region,gender_x_age,0.061399999999999996,0.015873405431727623,0.059719999999999995,0.015476659846362198,0.01336,0.0011802542099056458,0.85488,0.005135367562307518
GraphSAGE+EOT@region,gender_x_region,0.08182,0.013964848728145967,0.026239999999999996,0.00686789633002712,0.006500000000000001,0.0016985287751463028,0.7361800000000001,0.006002249578283161
GraphSAGE+EOT@region,region,0.04824,0.010187148766951428,0.00618,0.003932810699741344,0.00208,0.0015056560032092323,0.6441,0.006046073105743931
GraphSAGE+FairDrop,age_group,0.03402,0.014568012904991537,0.03958,0.011187582401931167,0.00788,0.0011300442469213312,0.8926000000000001,0.007088370757797637
GraphSAGE+FairDrop,gender,0.03762,0.005641099183669794,0.01948,0.005785066983190428,0.0039,0.00038078865529319564,0.8340399999999999,0.0058875291931336
GraphSAGE+FairDrop,gender_x_age,0.06464,0.014610030800788888,0.05524,0.01507225928651707,0.013420000000000001,0.0010848963084092418,0.8588800000000001,0.005319492456992524
GraphSAGE+FairDrop,gender_x_region,0.0752,0.012046783803156755,0.02706,0.009485673407829305,0.00624,0.0014363147287415807,0.7410599999999999,0.004153071152773608
GraphSAGE+FairDrop,region,0.04178,0.010462169947004302,0.0054399999999999995,0.0038194240403495393,0.0018599999999999999,0.001322119510483073,0.62934,0.0024684002916868873
GraphSAGE+INLP+DPT@age_group,age_group,0.04328,0.01730583716553464,0.06562,0.010826680008201958,0.00832,0.0008757853618324527,0.5233399999999999,0.006224789153055681
GraphSAGE+INLP+DPT@age_group,gender,0.04246,0.00961914757138074,0.02696,0.011330622224750057,0.00448,0.000978263768111648,0.79564,0.011822351711905725
GraphSAGE+INLP+DPT@age_group,gender_x_age,0.07644,0.01563451310402725,0.08844,0.014512167308848118,0.015160000000000002,0.0018420097719610508,0.66108,0.0051562583333266245
GraphSAGE+INLP+DPT@age_group,gender_x_region,0.0769,0.010582532778120745,0.03526,0.013501962820271725,0.007200000000000001,0.0019013153341831547,0.71566,0.008911116652810712
GraphSAGE+INLP+DPT@age_group,region,0.0382,0.010219589032832974,0.004659999999999999,0.005399351812949402,0.00206,0.0012934450123604018,0.62718,0.005700614002017652
GraphSAGE+INLP+DPT@gender,age_group,0.029960000000000004,0.019226752195833804,0.03558,0.009463984361779134,0.008199999999999999,0.0017204650534085248,0.8925599999999999,0.005510716831774256
GraphSAGE+INLP+DPT@gender,gender,0.00438,0.003646505176192679,0.01566,0.006922282860444234,0.004280000000000001,0.0009523654760647302,0.56052,0.009498262999096192
GraphSAGE+INLP+DPT@gender,gender_x_age,0.06846,0.022544245385463672,0.051539999999999996,0.005351448402068359,0.01444,0.0023158151912447598,0.79926,0.005861996247013489
GraphSAGE+INLP+DPT@gender,gender_x_region,0.0517,0.009633535176662822,0.020819999999999998,0.006873645321079638,0.006839999999999999,0.0019919839356781974,0.5974,0.004436214602563784
GraphSAGE+INLP+DPT@gender,region,0.04038,0.007746418527293759,0.00408,0.0032820725159569525,0.00202,0.0012153188881935473,0.64368,0.005659681969863673
GraphSAGE+INLP+DPT@region,age_group,0.03474,0.021317316904338593,0.03456,0.00811560225738053,0.00792,0.0017093858546273274,0.87378,0.005922583895564462
GraphSAGE+INLP+DPT@region,gender,0.03428,0.005896778781673941,0.01732,0.005315731370187925,0.00436,0.0010358571330062849,0.8160399999999999,0.0073295975332892905
GraphSAGE+INLP+DPT@region,gender_x_age,0.058179999999999996,0.0222490898690261,0.05604,0.01558983643275323,0.01456,0.002290851370124217,0.8397,0.005024440267333211
GraphSAGE+INLP+DPT@region,gender_x_region,0.04758,0.013573024718168018,0.05606,0.018659528397041547,0.00686,0.002003247363657319,0.71304,0.00573829242893735
GraphSAGE+INLP+DPT@region,region,0.015220000000000001,0.011211690327510833,0.0368,0.016917151060388387,0.00196,0.001242175510948433,0.52186,0.0027446311227558645
GraphSAGE+INLP+DPT_composite,age_group,0.01998,0.014436308392383423,0.0256,0.026890797682478665,0.04092,0.03567179558138334,0.50298,0.006331429538421842
GraphSAGE+INLP+DPT_composite,gender,0.009519999999999999,0.0088840868973688,0.01808,0.007687457316954678,0.01196,0.011270669900232195,0.49722,0.003473039015041419
GraphSAGE+INLP+DPT_composite,gender_x_age,0.04642,0.017643894127997935,0.0475,0.018453725911045715,0.0634,0.03815776460957849,0.50038,0.00401459836098207
