model,attribute,delta_dp,delta_eo,group_auc_gap,leakage_auc
GraphSAGE+INLP+DPT@gender,age_group,0.0293,0.0287,0.0091,0.8908
GraphSAGE+INLP+DPT@gender,gender_x_age,0.0475,0.0354,0.0138,0.795
GraphSAGE+INLP+DPT@gender,gender_x_region,0.0283,0.022,0.0064,0.6024
TabICL+INLP+DPT@gender,gender,0.0025,0.0104,0.0052,0.7112
TabICL+INLP+DPT@gender,region,0.0261,0.0081,0.0,0.6029
TabICL+INLP+DPT@gender,age_group,0.0203,0.0238,0.0079,0.9924
TabICL+INLP+DPT@gender,gender_x_age,0.0357,0.0376,0.0119,0.8936
TabICL+INLP+DPT@gender,gender_x_region,0.0354,0.0175,0.0064,0.6502
GraphSAGE+INLP+DPT@age_group,gender,0.0289,0.0165,0.0044,0.7979
GraphSAGE+INLP+DPT@age_group,region,0.027,0.0073,0.0003,0.6281
GraphSAGE+INLP+DPT@age_group,age_group,0.014,0.061,0.0099,0.5171
GraphSAGE+INLP+DPT@age_group,gender_x_age,0.0526,0.0719,0.0141,0.6564
GraphSAGE+INLP+DPT@age_group,gender_x_region,0.056,0.0335,0.0072,0.7166
TabICL+INLP+DPT@age_group,gender,0.0297,0.0166,0.0037,0.8729
TabICL+INLP+DPT@age_group,region,0.0234,0.0069,0.0002,0.595
TabICL+INLP+DPT@age_group,age_group,0.0176,0.0524,0.009,0.5709
TabICL+INLP+DPT@age_group,gender_x_age,0.0548,0.0637,0.0118,0.7364
TabICL+INLP+DPT@age_group,gender_x_region,0.0526,0.0327,0.0054,0.7587
GraphSAGE+INLP+DPT@region,gender,0.0313,0.016,0.0041,0.809
GraphSAGE+INLP+DPT@region,region,0.013,0.0298,0.0002,0.5135
GraphSAGE+INLP+DPT@region,age_group,0.0238,0.0397,0.0087,0.8884
GraphSAGE+INLP+DPT@region,gender_x_age,0.0572,0.0481,0.013,0.8433
GraphSAGE+INLP+DPT@region,gender_x_region,0.0447,0.0496,0.0063,0.7069
TabICL+INLP+DPT@region,gender,0.033,0.0213,0.0048,0.884
TabICL+INLP+DPT@region,region,0.0228,0.0467,0.0001,0.5322
TabICL+INLP+DPT@region,age_group,0.0206,0.0281,0.008,0.9927
TabICL+INLP+DPT@region,gender_x_age,0.0589,0.0399,0.0115,0.9352
TabICL+INLP+DPT@region,gender_x_region,0.0555,0.0708,0.0063,0.7591
GraphSAGE+INLP+DPT_composite,gender,0.0039,0.0068,0.0119,0.5092
GraphSAGE+INLP+DPT_composite,region,0.0021,0.0087,0.0044,0.4985
GraphSAGE+INLP+DPT_composite,age_group,0.0204,0.1197,0.1107,0.505
GraphSAGE+INLP+DPT_composite,gender_x_age,0.1133,0.2213,0.1692,0.4874
GraphSAGE+INLP+DPT_composite,gender_x_region,0.0277,0.0584,0.0336,0.5042
TabICL+INLP+DPT_composite,gender,0.0113,0.0144,0.0005,0.4967
TabICL+INLP+DPT_composite,region,0.0138,0.0403,0.0068,0.5013
TabICL+INLP+DPT_composite,age_group,0.0029,0.0413,0.0372,0.4951
TabICL+INLP+DPT_composite,gender_x_age,0.0597,0.0792,0.0417,0.5096
TabICL+INLP+DPT_composite,gender_x_region,0.0231,0.0572,0.0104,0.4994
GraphSAGE+Reweighted@gender,gender,0.0305,0.0165,0.0039,0.8138
GraphSAGE+Reweighted@gender,region,0.0208,0.0034,0.0002,0.6388
GraphSAGE+Reweighted@gender,age_group,0.0296,0.0242,0.0079,0.8937
GraphSAGE+Reweighted@gender,gender_x_age,0.0659,0.0388,0.0115,0.8483
GraphSAGE+Reweighted@gender,gender_x_region,0.0519,0.036,0.0059,0.7301
GraphSAGE+Reweighted@age_group,gender,0.0337,0.0181,0.0039,0.8114
GraphSAGE+Reweighted@age_group,region,0.0224,0.0011,0.0001,0.6388
GraphSAGE+Reweighted@age_group,age_group,0.0291,0.0251,0.0079,0.8883
GraphSAGE+Reweighted@age_group,gender_x_age,0.0683,0.04,0.0115,0.8429
GraphSAGE+Reweighted@age_group,gender_x_region,0.0562,0.0335,0.0056,0.7285
GraphSAGE+Reweighted@region,gender,0.0367,0.0182,0.004,0.8122
GraphSAGE+Reweighted@region,region,0.0186,0.0068,0.0002,0.6412
GraphSAGE+Reweighted@region,age_group,0.0307,0.0238,0.0081,0.8923
GraphSAGE+Reweighted@region,gender_x_age,0.0699,0.0373,0.0113,0.8494
GraphSAGE+Reweighted@region,gender_x_region,0.0552,0.0327,0.0055,0.7294
