dataset,seed,axis,n_train,n_test,embed_dim,composite_n_cells,acc_baseline,f1_baseline,acc_after_ultimate,f1_after_ultimate,delta_dp,delta_eo,leakage_pre,leakage_post
pokec-z,21,gender_x_age,10000,13314,512,12,0.9496770316959592,0.9495168355765919,0.910920835211056,0.9103504344219362,0.058503028151590475,0.1058641433563644,0.9425104187844721,0.5944856026534021
pokec-z,21,gender_x_region,10000,13314,512,12,0.9496770316959592,0.9495168355765919,0.910920835211056,0.9103504344219362,0.03519577109840799,0.051736752272306785,0.7150772367915625,0.5591019268303117
pokec-z,42,gender,10000,13314,512,12,0.9456962595763858,0.9455238533641985,0.8899654499023584,0.8888411345151235,0.00568630937562975,0.009351431356898088,0.8017599239513248,0.5545152038078529
pokec-z,42,region,10000,13314,512,12,0.9456962595763858,0.9455238533641985,0.8899654499023584,0.8888411345151235,0.01779297930896334,0.016225152863375003,0.5798942554398647,0.5364867208474274
pokec-z,42,age_group,10000,13314,512,12,0.9456962595763858,0.9455238533641985,0.8899654499023584,0.8888411345151235,0.06135913731340925,0.02157102648749487,0.997278009869777,0.635903343641222
pokec-z,42,gender_x_age,10000,13314,512,12,0.9456962595763858,0.9455238533641985,0.8899654499023584,0.8888411345151235,0.10275981739846796,0.08251748251748248,0.9419986431280184,0.6144035912958158
pokec-z,42,gender_x_region,10000,13314,512,12,0.9456962595763858,0.9455238533641985,0.8899654499023584,0.8888411345151235,0.033797941075371596,0.031494388908645976,0.7087399362506046,0.5420670909138381
pokec-z,99,gender,10000,13314,512,12,0.948400180261379,0.9482398502457494,0.8401682439537329,0.8399296716806479,0.00565928138743671,0.017505071198859246,0.8022009520761254,0.5537884625263266
pokec-z,99,region,10000,13314,512,12,0.948400180261379,0.9482398502457494,0.8401682439537329,0.8399296716806479,0.010148068385567977,0.04429905447732796,0.5846439908810708,0.533342914630641
pokec-z,99,age_group,10000,13314,512,12,0.948400180261379,0.9482398502457494,0.8401682439537329,0.8399296716806479,0.010571051581822088,0.029507312395109064,0.9980097425628314,0.6487447695133596
pokec-z,99,gender_x_age,10000,13314,512,12,0.948400180261379,0.9482398502457494,0.8401682439537329,0.8399296716806479,0.0703819989534275,0.059885901672797504,0.9455243570718169,0.6192023713375021
